episode_id,title,youtube_video_id,url,published_at
048,"#51 Drop & Catch, and Change of Direction",eUiPFVEQeaY,https://www.youtube.com/watch?v=eUiPFVEQeaY,
049,#52 Drewe Broughton - The Fear Coach,msYSxhBqqhE,https://www.youtube.com/watch?v=msYSxhBqqhE,
050,#54 Jamie Smith - Building an S&C EMPIRE 2.0,g2yP4YZZU08,https://www.youtube.com/watch?v=g2yP4YZZU08,
051,#55 The 2022 Round Up,T7NoGRdt-F8,https://www.youtube.com/watch?v=T7NoGRdt-F8,
052,#56 Colin Griffin on Achilles Tendon Rehab,LBPiN02uvwM,https://www.youtube.com/watch?v=LBPiN02uvwM,
053,#57 2023 Social Media Strategy,VftAKp-3sDI,https://www.youtube.com/watch?v=VftAKp-3sDI,
054,#64 Keir Wenham Flatt: From Rugby Guy To Money Guy,h-gPcLYvkss,https://www.youtube.com/watch?v=h-gPcLYvkss,
055,"#65 Ian Markow: Mobility, FRC, & Integration",bk66ezz_Xzg,https://www.youtube.com/watch?v=bk66ezz_Xzg,
056,"#66 Tension, Rhythm, & Storytelling",4OeGk2Lhd2M,https://www.youtube.com/watch?v=4OeGk2Lhd2M,
057,#67 Petey Performance X DGR: Negative Transfer & The Psychology of Coaching,XcaLUiDHrC4,https://www.youtube.com/watch?v=XcaLUiDHrC4,
058,"#68 Anterior Tilt, Education, & Ads",t1vMe8bTcmw,https://www.youtube.com/watch?v=t1vMe8bTcmw,
059,"#69 Jill Miller: Yoga, Hypermobility, & Relaxation Induced Anxiety",1x7L--ovVKA,https://www.youtube.com/watch?v=1x7L--ovVKA,
060,#70 The Perfect Mix of Sports for Kids,KNDjowNvsjc,https://www.youtube.com/watch?v=KNDjowNvsjc,
061,#71 Vas Krishnan: The Sprinting Physio,j9Jwfq2Jt_M,https://www.youtube.com/watch?v=j9Jwfq2Jt_M,
062,#72 Position Dictates Function & Specific vs General Strength,wIpr-d9s_2A,https://www.youtube.com/watch?v=wIpr-d9s_2A,
063,"#73 Craig Mallet: Tension, Pain & Longevity",rFRPDf6pFwI,https://www.youtube.com/watch?v=rFRPDf6pFwI,
064,#75 David & The Foot Collective,ZwVlwu4CqeI,https://www.youtube.com/watch?v=ZwVlwu4CqeI,
065,#77 Business Q&A,6MIP64QDTu0,https://www.youtube.com/watch?v=6MIP64QDTu0,
066,#78 Contrast Training in Rehab,UdcmWOFnAPc,https://www.youtube.com/watch?v=UdcmWOFnAPc,
067,#79 Brandon Accardi: Movement Models & Quality Coaching,1kBrp1XVujU,https://www.youtube.com/watch?v=1kBrp1XVujU,
068,#80 Jake Tuura: Patellar & Achilles Tendon Rehab 2.0,DoET2Q_CYzY,https://www.youtube.com/watch?v=DoET2Q_CYzY,
069,#81 Joseph Bartz: Joint Mobility & The BPS Model,e8x-Whg7H34,https://www.youtube.com/watch?v=e8x-Whg7H34,
070,"#82 Alan Murdoch: Speedworks, Rehab, Coordination & Specificity",7CzLXQ-cdFs,https://www.youtube.com/watch?v=7CzLXQ-cdFs,
071,"#83 Business, Networking & Marketing Wheels",pTyO-lsAC6Y,https://www.youtube.com/watch?v=pTyO-lsAC6Y,
072,"#84 Switching, Slouching & Sandwiches",ZMXunKCzXjY,https://www.youtube.com/watch?v=ZMXunKCzXjY,
073,"#85 The Pelvis, Zerchers, & Hinging",IwfLpClUWiI,https://www.youtube.com/watch?v=IwfLpClUWiI,
074,"#86: Quads Vs Soleus, & Changing Perspectives",eIBZXItD41Y,https://www.youtube.com/watch?v=eIBZXItD41Y,
075,#87 Graeme Morriss: From Job Search to Pro Sport,SxyOUdTJeB8,https://www.youtube.com/watch?v=SxyOUdTJeB8,
076,"#88 Centre of Mass, Sensory Wor﻿k, & Twitter",9px_6RVyF-E,https://www.youtube.com/watch?v=9px_6RVyF-E,
077,#89 Andy Chen NYC,c_JEon1D6bA,https://www.youtube.com/watch?v=c_JEon1D6bA,
078,#89 Andy Chen in NYC,V_EhC2-T0rA,https://www.youtube.com/watch?v=V_EhC2-T0rA,
079,#94 Active Vs Passive Range of Motion,dXSSXWP5_dk,https://www.youtube.com/watch?v=dXSSXWP5_dk,
080,#95 - 2023 Recap & 5 Big Ideas,GZedDeVrfpw,https://www.youtube.com/watch?v=GZedDeVrfpw,
081,#97 Gai﻿t & Flare Ups,etuCffJWh8k,https://www.youtube.com/watch?v=etuCffJWh8k,
082,"#98 Asymmetries, Shoulders, & Alan Turing",E_cOb-o64nk,https://www.youtube.com/watch?v=E_cOb-o64nk,
083,"#99 Programming for Rehab, Chronic Pain & Pro Athletes",B6Ll-M_lfTk,https://www.youtube.com/watch?v=B6Ll-M_lfTk,
084,"#100 100 Pods, 5 Knee Lessons, 1 Baby | David Grey Rehab Podcast",z18ZXycdpwc,https://www.youtube.com/watch?v=z18ZXycdpwc,
085,"#101 S & C, Mobility & Decision Making | David Grey Rehab Podcast",5i_pFSDK3wY,https://www.youtube.com/watch?v=5i_pFSDK3wY,
086,"Episode 102 Groins, Pelvic Tilts And Admiration | David Grey Rehab Podcast",OkXLy9TW_Jw,https://www.youtube.com/watch?v=OkXLy9TW_Jw,
087,"Episode 104: Programming For The Spine, Breathing And Malicious Physios",X0fwFmsPeWc,https://www.youtube.com/watch?v=X0fwFmsPeWc,
088,#105 Why You SHOULD Compare Yourself To Olympians,k2Z-B6nEjkc,https://www.youtube.com/watch?v=k2Z-B6nEjkc,
089,#106 Upper Limb Rehab & Keeping Clients On Track,7cPR10_5qjU,https://www.youtube.com/watch?v=7cPR10_5qjU,
090,#107 Top Secret Programming Tips,QhZ_kxHelog,https://www.youtube.com/watch?v=QhZ_kxHelog,
